n,left_offset,right_offset
4294868617,28,5
4294868618,63,1
4294868619,10,13
4294868620,1,17
4294868621,52,31
4294868622,13,13
4294868623,112,17
4294868624,21,67
4294868625,4,23
4294868626,15,165
4294868627,58,13
4294868628,65,59
4294868629,18,209
4294868630,1,41
4294868631,2,35
4294868632,123,51
4294868633,240,65
4294868634,55,43
4294868635,12,11
4294868636,37,5
4294868637,34,1
4294868638,7,27
4294868639,16,7
4294868640,29,1
4294868641,6,17
4294868642,3,167
4294868643,4,7
4294868644,13,57
4294868645,4,131
4294868646,67,31
4294868647,12,15
4294868648,3,1
4294868649,38,29
4294868650,37,11
4294868651,10,55
4294868652,149,37
4294868653,184,11
4294868654,1,61
4294868655,34,37
4294868656,25,27
4294868657,42,23
4294868658,77,95
4294868659,46,33
4294868660,21,13
4294868661,2,37
4294868662,27,81
4294868663,58,29
4294868664,47,11
4294868665,144,3
4294868666,31,31
4294868667,58,1
4294868668,45,51
4294868669,18,1
4294868670,47,1
4294868671,12,5
4294868672,9,67
4294868673,20,11
4294868674,15,83
4294868675,36,41
4294868676,17,5
4294868677,112,113
4294868678,7,77
4294868679,52,53
4294868680,7,137
4294868681,30,7
4294868682,49,17
4294868683,72,71
4294868684,1,23
4294868685,76,7
4294868686,25,39
4294868687,48,5
4294868688,35,79
4294868689,30,41
4294868690,31,1
4294868691,98,11
4294868692,15,21
4294868693,60,17
4294868694,53,53
4294868695,168,9
4294868696,3,31
4294868697,4,157
4294868698,99,15
4294868699,70,47
4294868700,83,49
4294868701,6,105
4294868702,49,37
4294868703,64,127
4294868704,141,11
4294868705,12,119
4294868706,133,5
4294868707,34,17
4294868708,55,11
4294868709,26,107
4294868710,3,87
4294868711,6,29
4294868712,19,1
4294868713,54,41
4294868714,1,97
4294868715,32,41
4294868716,21,21
4294868717,22,23
4294868718,85,11
4294868719,10,57
4294868720,1,79
4294868721,8,41
4294868722,45,65
4294868723,30,25
4294868724,25,17
4294868725,106,117
4294868726,43,41
4294868727,70,115
4294868728,63,71
4294868729,28,37
4294868730,37,13
4294868731,46,9
4294868732,69,97
4294868733,2,1
4294868734,15,11
4294868735,36,13
4294868736,73,37
4294868737,58,93
4294868738,9,41
4294868739,8,1
4294868740,1,3
4294868741,6,49
4294868742,17,91
4294868743,28,59
4294868744,1,127
4294868745,4,67
4294868746,37,9
4294868747,54,37
4294868748,35,55
4294868749,70,27
4294868750,3,11
4294868751,40,67
4294868752,19,93
4294868753,40,1
4294868754,23,7
4294868755,6,3
4294868756,45,47
4294868757,28,31
4294868758,63,21
4294868759,58,11
4294868760,17,19
4294868761,100,9
4294868762,7,25
4294868763,22,25
4294868764,73,27
4294868765,4,7
4294868766,61,71
4294868767,4,143
4294868768,75,7
4294868769,106,47
4294868770,9,39
4294868771,6,41
4294868772,35,31
4294868773,60,15
4294868774,13,29
4294868775,172,1
4294868776,21,75
4294868777,48,1
4294868778,199,47
4294868779,36,9
4294868780,1,1
4294868781,80,17
4294868782,73,15
4294868783,100,19
4294868784,31,17
4294868785,6,27
4294868786,27,25
4294868787,28,31
4294868788,27,39
4294868789,36,23
4294868790,1,67
4294868791,30,5
4294868792,169,7
4294868793,32,11
4294868794,21,51
4294868795,48,31
4294868796,5,77
4294868797,18,47
4294868798,9,85
4294868799,50,49
4294868800,1,3
4294868801,30,47
4294868802,5,5
4294868803,12,141
4294868804,37,7
4294868805,128,53
4294868806,25,107
4294868807,42,23
4294868808,17,125
4294868809,72,9
4294868810,39,7
4294868811,58,139
4294868812,25,17
4294868813,42,7
4294868814,11,13
4294868815,42,243
4294868816,43,47
4294868817,4,43
4294868818,19,39
4294868819,18,31
4294868820,7,41
4294868821,28,41
4294868822,67,11
4294868823,58,107
4294868824,1,27
4294868825,82,23
4294868826,7,1
4294868827,132,117
4294868828,15,67
4294868829,52,1
4294868830,81,197
4294868831,12,41
4294868832,79,7
4294868833,72,81
4294868834,37,41
4294868835,2,49
4294868836,7,95
4294868837,10,37
4294868838,23,55
4294868839,28,59
4294868840,63,101
4294868841,46,25
4294868842,27,41
