Z,lieb,nam,hps_s2,hps_s3,hps_simplified,best_published,best_name
189,378.000000000000000000,247.796380644951483418,245.130010547276299349,233.811340510020187367,234.351674193268678437,233.811340510020187367,hps_s3
190,380.000000000000000000,249.046691236834476513,246.367023779120700056,234.969119639691825796,235.510588315779330060,234.969119639691825796,hps_s3
191,382.000000000000000000,250.296895661477179829,247.603932259288058049,236.126761164254673986,236.669360881969595312,236.126761164254673986,hps_s3
192,384.000000000000000000,251.546994843688906940,248.840736900256814579,237.284266280909918123,237.827993124918549483,237.284266280909918123,hps_s3
193,386.000000000000000000,252.796989695456403524,250.077438601853970113,238.441636170277263318,238.986486260608529619,238.441636170277263318,hps_s3
194,388.000000000000000000,254.046881116187222460,251.314038251494935139,239.598871996709306131,240.144841488249625172,239.598871996709306131,hps_s3
195,390.000000000000000000,255.296669992946988259,252.550536724417781898,240.755974908598091133,241.303059990596011630,240.755974908598091133,hps_s3
196,392.000000000000000000,256.546357200691090839,253.786934883911868610,241.912946038674306237,242.461142934254809234,241.912946038674306237,hps_s3
197,394.000000000000000000,257.795943602490865487,255.023233581540864634,243.069786504299713670,243.619091469987864684,243.069786504299713670,hps_s3
198,396.000000000000000000,259.045430049754372703,256.259433657360716552,244.226497407752304980,244.776906733005830574,244.226497407752304980,hps_s3
199,398.000000000000000000,260.294817382442033704,257.495535940132413089,245.383079836504890636,245.934589843256020458,245.383079836504890636,hps_s3
200,400.000000000000000000,261.544106429277178449,258.731541247529662542,246.539534863497209471,247.092141905702931126,246.539534863497209471,hps_s3
